q_id,processed_query
190,почему не отображаются деньги на счету?
191,обращение давал на отвязку чужого счета от моего номера. а привязали не тот
192,какой еще кредитный счет ?
193,"а откуда тогда он взял эту сумму, она нигде не отображается"
194,а куда делись карты? в приложннии?
195,добрый день.не вижу этих денег на счетах
196,телефон на детской карте
197,мой расчётный счёт
198,куда я перевела деньги
199,перенести визит в банк
200,проверочнве смс не приходят
201,я только что оформил кредитную карту
202,здравствуйте! а почему я не вижу счет кредитной карты?
203,по операциям
204,где посмотреть всё мои счета
205,почему не приходят уведомления в смс о переводе мне денежных средств??
206,операции
207,только что пришло на телефон
208,смена пароля
209,добрый день вопрос по кешбку на моих картах
210,одобрили кредит где деньги
211,"мне нужны уведомления на телефон, не смс а уведомление от банка"
212,"добрый день , почему у меня в приложении не высвечивается карта ребенка?"
213,"здравствуйте. при попытке активации карты я должен ввести код, который должен прийти на мой номер телефона, но он не приходит. что мне делать?"
214,добрый день. чтобы открыть вклад требуется смс код?
215,не отображается карта
216,"каждый раз мне приходится вводить номер карты и номер телефона, что происходит, как это убрать"
217,бик
218,когда закончится срок использования карты ?
219,переводы мне были сегодня
220,"можете проверить, не поступали ли мне переводы за сегодня или может они были отклонены?"
221,как посмотреть платеж
222,"где в ростове отделение банка находится, для написания заявления вернуть деньги"
223,"оформлена кредитная карта на моё имя чужим человеком, карты нет в личном кабинете"
224,номер карты
225,здравствуйте! как снять остаток средств со счета и закрыт счет в альфа банке?
226,как я получаю
227,когда будет доступна кредитка в приложении?
228,при смене номера нет доступа к приложению
229,"подскажите, как найти все или оплаты в адрес ооо кладовкин?"
230,мне одобрили кредитную карту а в личном кабинете она не появилась .
231,куда уходят пополнения?
232,не отображается список карт
233,"здравствуйте, при входе в приложение выходит обновить номер телефона . нажимаю, что у меня тот же номер, ошибка. что делать?"
234,какие банкоматы работает сегодня город якутск
235,здравствуйте хочу погасить рассрочку на 0000 р не могу найти номер счёта
236,мне нужно обновить данные по номеру телефона
237,исчезла карта привязанная к зарплатному счету
238,было ли пополнения рассрочки 0000?
239,почему то не приходит смс на активацию электронной подписи в альфа инвестициях
240,прошёл ли платёж?
241,как узнать бик?
242,когда была открыта кредитка?
243,номер счета карты
244,"я сегодня получила карту альфа банк, номер карты не совпадаем с картой онлайн, на карте другой , а в приложении другой номер картв"
245,не поступают уведомления о пополнение карты
246,почему не показывает реквизиты?
247,банк на каминтери
248,реквизиты можно мне атправит немагу найти
249,как телефонные номера поменять местами?
250,кешаут
251,нужна ссылка для входа в онлайн банк
252,"доброе утро. я хочу закрыть счёт, на который я брала деньги в рассрочку, сумму недостающую я внесла, но почему то не могу закрыть, помогите пожалуйста закрыть рассрочку"
253,мне не надо чтобы оно так отображалось
254,почему не стали приходить смс оповещения?
255,последняя оплата инфо
256,как узнать лицевой счёт
257,по закрытому и открытому счету нужна история операций за 0000 год
258,мне на счет поступило 00.000
259,"добрый день, сейчас положила деньги на карту, не могу найти их списание"
260,"операции, произведенные более чем год назад"
261,операции по картам
262,куда ушли пополнения на карту?
263,"ещё не получил кредитную карту, как узнать лимит"
264,"в реквизитах нет расчетного счета банка, а он мне нужен для возврата штрафа"
265,добрый день! не приходят уведомления о списании средств
266,меня интересует дата когда я заблокировала карты
267,перевод 0 тыс через сбп минут 0 назад. почему я не вижу перевод в истории платежей?
268,"добрый день! для оплаты не приходит смс, уведомления включены как быть?"
269,узнать адрес оплаты картой
270,где он указывается?
271,"если дата платежа завтра , по кредитным каникулам решение нужно принять сегодня или можно с утра ? необходимо изучить информацию"
272,"эта выписка по оддному кредиту? у меня несколько кредитов, по ним один договор?"
273,"нет, не понятно. 00 числа было два поступление, одно я перевела себе накоплений. и сразу перевела другому человеку. в каких накоплениях деньги?"
274,"здравствуйте, где посмотреть номера договора на кредитную карту"
275,"добрый день. пришлите пожалуйста выписку из банка содержащую наименование банка, расчетный счет, бик банка"
276,такси за наш счет в мае
277,"добрый день, мне нужен номер договора альфа страхования жизнь по погашенному кредиту"
278,где я могу это отслеживать
279,последний перевод
280,счёта
281,где посмотреть бик и счёт карты
282,куда исчезла моя карта?
283,как узнать бик банка
284,где я могу найти счёт к которому привязана моя карта
285,сегодня праздничный или выходной день?
286,"почему я не вижу все поступления. например, зарплату?"
287,можно узнать где зачисление?
288,мои кешбеки
289,здравствуйте! могу я узнать номера договоров страховки по тем кредитам которые я закрыла досрочно?
290,"добрый день, почему мне не приходят уведомления о зачислениях таких как заработная плата. пуш уведомления включены в настройках"
291,00 апреля была операция по зачислению 0000 руб. откуда это и куда были зачислены деньги?
292,"мне озон в подарок отправил сотрудника альфа банка, привезли , как получить на карту xxxxx и кеш бек?"
293,вопрос по начислению кэшбека
294,сумма поступления по дебетовой карты
295,"здравствуйте, история об оплате почему нет ?"
296,"я брала деньги в рассрочку, на счету остались мои 0000 руб, как я могу её получить ?"
297,почему не отображается кредитная карта?
298,что делать если не приходит код для активации карты?
299,подключить кэшбек
300,запросить дебетового счета
301,проверить пополнение счета рассрочки
302,операции нет в истории
303,"здравствуйте, куда ушло пополнение на 0000 руб"
304,"у меня подключены именно уведомления по смс в профиле, но они не приходят"
305,бонус
306,адрес регистрации
307,пополнила баланс
308,интересует лимит по кредитной карте
309,как мне быть операция прошла или нет
310,бик код банка
311,когда у меня был баланс?
312,кэшбэк по операции
313,здравствуйте! на мой счет поступила сумма 00000 рублей от неизвестного отправителя
314,сегодня рабочий день или на бирже выходной
315,кредитный лимит
316,расчетный счёт
317,не могу ребенку подключить приложение не приходит смс на телефон что делать?
318,почему не вижу карту в онлайн банке на которой 0000 р ?
319,почему смс не получил?
320,моя история по кредиту
321,добрый день. почему в приложении не отображался кредит xxxxx? я получил смс сейчас и сразу оплатил!
322,не могу просмотреть реквизиты
323,поступили денежные средства на кредит ?
324,"здравствуйте, перезвоните мне пожалуйста, у меня слетело приложение после смены телефона"
325,последние пополнение
326,как посмотреть расчётный счёт
327,"добрый день, у ребенка в приложении не отображается его карта"
328,"сделал перевод между счетами, не пойму сумма снялась, а куда перевелась?"
329,подскажите прошла оплата или нет xxxxx
330,у меня сегодня было 0 перевода на сумму 00.000 и 00.000 где чек на 00.000? почему не высвечивается в истории
331,пришло только уведомление
332,можно ли проверить действительно ли был осуществлен перевод другим пользователям на мой счет?
333,где найти счет ?
334,где посмотреть мои счета?
335,"здравствуйте, что у меня подключен к кредиту?"
336,бонусы
337,прошла ли оплата?
338,"здравствуйте. оформил кредитную карту. скажите пожалуйста, ей нельзя пользоваться пока я ее не заберу с офиса???"
339,где найти бик банка?
340,на мой номер смс не приходить
341,не могу найти бик и корсчет
342,почему не начислен кэшбек за оплату в аптеке стикером
343,а что с моим номером не так?
344,какой у меня бик
345,где смотреть суммы зачислений по дивидендам и купонам?
346,"здравствуйте, зачислились деньги 00 числа и я не понимаю от кого они. я не вижу номер телефона отправителя, где я могу его узнать? потому что деньги ни от кого я не ждала"
347,почему приходится каждый раз вводить логин пароль для входа ? и код доступа сбивается
348,здравствуйте! у меня сегодня списали 0000 р в счёт долга который я оплатила с другого банка два месяца назад
349,"сама не могу, потому что номер тот же, но он его не подтверждает через код из смс"
350,почему пропала операция из истории переводов
351,"пуш уведомления были включены, сейчас отключила,попробую через смс"
352,где узнать бик
353,вібрать кешбек
354,у меня есть счёт кредитной карты?
355,"добрый день. я сегодня перевела 0000, но не вижу на какой счет они пришли. как узнать?"
356,здравствуйте не могу погасить задолжность из за заблокированых средств
357,"здравствуйте,не приходят уведомления и смс ,что делать?"
358,последний на сумму 0000
359,"приветствую, почему не отображаются мои карты и платежный стикер?"
360,почему кредитная карта не отображается в приложении
361,не вижу баланса в кредитной карте после оплаты платежа
362,почему не видна кредитная карта в приложении
363,почему я не вижу в приложение свою старую карту?
364,"здравствуйте, не появилась кредитная карта в приложении"
365,дебетовый счёт
366,бонус сверху
367,напишите почтовый адрес банка
368,срок годности кредитной карты
369,где 000 тысяча
370,вот в истории расходные операции не отражаются
371,"счет указан верно, но денежные средства не отображаются"
372,кэшбек
373,сколько мне одобряют
374,"уменьшила лимит , не приходит ни смс, ни пуш уведомление, на подтверждение"
375,кэш бек
376,не отображается карта у ребенка в личном кабинете
377,почему нет этих денег на счету?
378,уведомление о временном пароле
379,заказала замену карты и в приложении она видна
380,а где в приложении кредитная карта
381,"здравствуйте, где можно узнать расчётный счет"
382,"здравствуйте, почему не приходят уведомления о поступлении средств на карту?"
383,мне нужен счет реквизиты без отчества
384,как посмотреть на сколько кредитная карта
385,что то в истории операций не отображается
386,а что мне пришло за перечисление
387,"добрый день, мне нужен номер счёта и бик"
388,как узнать в каком магазине сделана покупка
389,если счет совершенно на другую сумму
390,не вижу куда перевелись деньги
391,как удалить уведомление о переврде?
392,могу я получить карту в санкт петербурге завтра вместо поселка сосново?
393,деньги поступили ?
394,по каким операциям
395,номер карты
396,в приложении история операций заканчивается на 0000 году. где найти сведения за 0 последних года?
397,"что делать если номер аннулирован, и нужно сменить его здесь?"
398,закинулись ли деньги на счет?
399,"добрый день, мне одобрили кредитную карту, ее не видно в моих продуктах"
400,справка о реквизитах карты
401,здравствуйте цена за альфа стикер 000 р указана за год или за каждый месяц в течение года?
402,смс не пришло
403,не приходит смс для подтверждения перевода
404,сумму
405,корреспондентский счет банка
406,как узнать номер счета с которого списывается кредит
407,денег не вижу на счетах
408,почему не проходит оплата со стикера?
409,мне нужна вся история платежей совершенные по qr коду
410,можно ли пользоваться кредитной до получения пластика
411,прошла ли последняя транзакция?
412,"здравствуйте, хочу поменять номер для переводов по этому номеру и поменять пароль для входа а онлайн банк"
413,не приходят деньги на счёт кредита
414,"подскажите, пожалуйста. xxxxx. это в месяц?"
415,наименование банка
416,"геннадий, это все не помогает. смс на закрытие и за прочие операции приходят, не приходит на активацию. вчера вечером тоже самое было. не могу активировать карту."
417,"здравствуйте, лимит кредитной карты 00000, перевод был сделан на счёт этой карты 00000."
418,"здравствуйте! у меня сейчас временные финансовые трудности, и я хотела бы попросить отсрочку ежемесячного платежа по кредиту на 0 0 дней. гарантирую оплату 00 мая подскажите, пожалуйста, возможен ли перенос даты платежа?"
419,нужен лицевой счёт для получения зп
420,"добрый вече, хотела оформить кредит на карту одобрили 0 тысяч рублей, но текущий счёт не тот какой на карте"
421,"здравствуйте,мне нужны номера договоров,от какого они числа,и актуальные суммы задолженности по ним"
422,о поступлении на карту
423,за 0 мая
424,где найти расчётный счет?
425,как мне найти свой расчетный счет
426,сколько приход за апрель?
427,почему я не могу войти в личный кабинет
428,добрый день! где можно узнать номер договора на страховку?
429,"здравствуйте, подскажите че делать, взял недавно кпзн в банке, сегодня позвони с росреестра, сказали оплатить какую то госпошлину, сказали уточните у своего менеджера если надо, то какие реквизиты , сумма и где платить ,"
430,прошу подтвердить погашение долга по кредитке.
431,оплаты по квитанциям март и апрель
432,"здравствуйте, не приходят смс и пуш для активации карты"
433,"подскажите пожалуйста, куда делись 0000 рублей не на одном счете не отображаются"
434,как узнать дату когда мне выдали кредитную карту действующую
435,мне нужен номер счета и бик
436,деньги поступили на кредитный счет или нет ?
437,расчетный счет карты
438,"здравствуйте, посмотрите пожалуйста данную сумму сняли с карты ?"
439,по операции за 0 мая
440,почему не отображается кредитная карта?
441,"здравствуйте, не отобразился перевод в истории"
442,так точно проверил все операции по карте мои
443,реквизиты проверили
444,"здравствуйте, как узнать свой бик"
445,нет в истории платежей 0000 года
446,не видно что поступили!
447,"доброго дня. выполнил пополнение счета из другого банка. деньги пришли, но я не понимаю на какой счет."
448,добрый день. почему не приходит пуш на подтверждение перевода из альфы в другой банк?
449,"здравствуйте! как мне записаться в отделение банка, чтобы получить детскую карту, которая уже готова?"
450,когда заканчивается срок кредитной карты
451,как узнать расчетный счет
452,почему кредитная карта не появилась еще в списке карт
453,почему не показывает последнюю оплату в истории ?
454,не отображается кредитный лимит.
455,номер договора действующего страхования по ипотеке
456,здравствуйте не вижу в приложении карту свою
457,почему я не могу закрыть счёт рассрочки?не приходит смс
458,добрый вечер! не могу ничего понять в инвестициях?! не понять где посмотреть историю покупок и выплат банком ежемесячной 0000 рублей?! сколько раз я получила эти выплаты?
459,"после закрытия, куда перечислят деньги?"
460,"перевела на счет кредитный деньги для списания 00 мая. резерв по счету 00 000 тыс. на счету для списания теперь не хватает. что это значит, и эти 00 000 будут ли списаны за кредит?"
461,где находится
462,добрый вечер скажите на какой счёт упали 000 рублей
463,не приходят смс при оплате картой онлайн
464,"добрый день. подскажите, почему мне не приходят уведомления о поступлении денег на счет?"
465,бик банка
466,"если я сейчас переведу деньги на альфа банк, они также поступят непонятно куда или на карту?"
467,банк
468,"совершила перевод , не вижу его в истории"
469,где мне найти бик и к сч?
470,у ребёнка не получается войти в лк
471,"здравствуйте, а подскажите, пожалуйста, как включить функцию, чтобы отчислялась на накопительный счёт какая то сумма?"
472,у меня запись есть
473,здравствуйте! можно отсрочить платеж по кредитной карте до пятницы?
474,оплатил кап ремонт и нигде нет истории платежа
475,"здравствуйте, подскажите куда ушло поступление на дебетовую карту 0000 р"
476,"перевод 00 мая, а не 00 мая"
477,на свету нет этих денежных средств все еще
478,не вижу кредитную карту
479,почему не отображается карта альфаtravel в приложении?
480,как узнать свой расчётный счёт
481,сумма?
482,вы можете мне сбп включить!?!?
483,где посмотреть расчетный счёт
484,почему не приходят смс с кодом для оплат покупок?
485,"добрый день.не вижу в приложении детской карты, я ее на сына оформлял"
486,где посмотреть всё мои счета
487,можете изменить номер телефона если у меня еще в настройках нету доверенности
488,до какого срока продлена дебетовая карта?
489,как произошла покупка последняя
490,почему нет смс о поступление денег или снятие ?
491,"утро доброе, хотела уточнить у вас, на счёт кешбэк"
